"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death"
"AFG",153,2.08,90,89.5,390,521,54,139,394,173,18,39.0972402597403,59,299,0,4.5,0.39,0.4461,18.4,38928341,59.6273948472873,100,516.747870807558,65.80603027,79.39915466,2.6490696522272,55.5283288943229,41.8226014534499,0.152034641396253,-0.625589153333187,"Asia","Southern Asia",42991
"AGO",47.5,13.26,59,28.5,503,571,64,27,584,149,0,64.7806429780035,67.5,103,0,6.8,0.244236198767421,0.4075,36,32866268,26.3626116948745,100,1776.16686789531,71.32600403,55.60569763,2.19146242080635,51.4131751845783,46.3953623946154,1.46996437956861,-0.319166358307875,"Africa","Sub-Saharan Africa",21905
"ALB",155.5,35.29,8,96.5,360,615,156.5,0,600,434,423,57.1717560975607,97,157,185,22.3,2.89,5.088,72.24,2837849,103.571131386861,99.9999999999643,5246.09634560989,274.91409302,44.65778351,14.7045813168893,68.0595608376824,17.2358578454283,-0.296316505148248,0.784257583897565,"Europe","Southern Europe",12349
"AND",49,71.1,13.5,96.5,353,600,3.5,37,597,13,460,48.4928899835796,82,330,406,28,3.58901501321507,4.0128,91.56746703,77265,164.393617021277,17.8244594869492,40897.3308728669,2744.19433594,30.51295662,13.350832789599,58.2265920211257,16.0771363420655,1.70233682999978,0.638444745246776,"Europe","Southern Europe",354
"ARE",13,96.62,43.5,12.5,535,576,156.5,0,610,40,639,54.3620404984422,104,567,579,29.9,1.38,5.7271,100,9890400,139.262179667699,100,36284.5552429552,1842.69445801,47.70216751,1.26440765501746,83.9215129981572,14.8140793468253,0.81910373338393,1.60476149379382,"Asia","Western Asia",2364
"ARG",95.5,76.88,63,33.5,555,566,29.5,137,592,561,607,72.3652388059696,87.5,0,232,28.5,4.99,2.5996,85.5,45376763,16.580892611147,93.8528246666324,8579.01777315683,945.99194336,37.38851166,11.3665118336064,64.1981770242501,24.4353111421435,1.29869042419275,1.62570970926491,"Americas","Latin America and the Caribbean",86691
"AUS",62.5,73.88,145,106,329,476,112,184,588,334,646,60.5675038759691,18,192,529,30.4,3.84,13.2416,89.6,25693267,3.34024963533636,24.8935837696774,51680.3165229438,5427.46240234,28.31803894,16.2130580672445,64.4945169162338,19.2924250165216,-0.380802846100671,1.15454918203374,"Oceania","Australia and New Zealand",-14142
"AUT",27.5,66.19,32,122.5,413,579,9,125,599,257,581,61.9462113821137,37.5,369,442,21.9,7.27,7.0891,87.52942813,8916864,108.057004362579,85.0515376653505,48588.6593847921,5242.18310547,26.99225616,19.2040036427437,66.3838195913616,14.4121767658946,1.64755729016307,1.60918782628298,"Europe","Western Europe",10852
"AZE",72.5,48.82,131,86.5,362,516,83,127,588,200,606,74.0255737704918,71.5,38,75,19.9,4.82,6.4338,84.59999573,10093121,122.112916495269,100,4221.40747847848,193.10884094,67.96251678,6.74162212574058,69.7430866430283,23.5152912312311,-0.240842671420492,0.270405533743156,"Asia","Western Asia",53982
"BDI",170,0.01,142,148,15,473,156.5,0,225,0,37,14.9778965517241,155.5,7,0,4.4,0.79,0.6628,9.4,11890781,463.036643302181,100,238.990725856496,20.56754112,40.96768951,2.38013742407565,52.3679431061905,45.2519194697339,-2.82928160467342,-3.30316399924669,"Africa","Sub-Saharan Africa",9026
"BEL",101,75.34,84,102,432,556,22.5,83,598,307,548,55.3487264150943,78,190,543,24.5,5.58,11.808,91.52641629,11544241,381.249702774108,91.9485403518636,45205.3359408051,4960.39355469,23.22304344,19.2542328598609,63.711796319863,17.033970820276,0.48064617261624,1.26658869202649,"Europe","Western Europe",16970
"BEN",76,1.92,54.5,24,572,572,156.5,0,370,0,533,42.3819663865545,97,0,0,8.2,0.5,0.3029,25.8,12123198,107.513284852785,100,1291.04097215441,29.12529182,53.01073074,3.27846608156262,54.776956579121,41.9445773393164,0.330410412458062,-0.698267307196905,"Africa","Sub-Saharan Africa",11600
"BFA",163,1.51,90,53,511,553,156.5,0,54,106,489,31.9578036605656,43,290,0,4.5,0.4,0.9272,22,20903278,76.4008698830409,100,857.932729650223,42.3445282,42.38819504,2.41102912448209,53.218670588094,44.3703002874239,-0.341771929799124,-1.31595196006861,"Africa","Sub-Saharan Africa",21154
"BGD",81.5,25.13,127,81,520,520,29.5,361,592,546,136,77.0436815920403,78,279,0,3.4,0.79,0.3916,24.8,164689383,1265.18693247292,100,1961.6137487886,45.85716248,75.25727081,5.22700361322017,68.0184550815883,26.7545413051915,0.258491456643052,1.71607318258263,"Asia","Southern Asia",138530
"BGR",15,22.23,27.5,6.5,338,581,118,17,598,37,459,47.8438640132671,97,97,338,27.4,7.45,4.7853,70.16,6934015,63.8726510685335,99.8946743201431,10079.2033812203,697.8963623,40.8441391,21.4679255574449,63.8526029924681,14.679471450087,1.45866881865444,0.0745543672815161,"Europe","Eastern Europe",53883
"BHR",5,67.35,59,28.5,571,571,60,14,593,128,617,56.202337662338,47,580,579,28.7,1.74,2.4944,99.67,1701583,2181.51666666667,100,20409.9528047731,940.39569092,40.79542923,2.65119080851564,79.0664531390036,18.2823560524808,1.88022394395258,1.78950187535698,"Asia","Western Asia",696
"BHS",99.5,33.32,21,24,572,592,37,141,591,581,597,68.6544873949579,87.5,175,7,32.1,2.96,4.5669,87,393248,39.2855144855145,99.9999999918088,25194.0251444381,2004.61633301,47.52725601,7.74811567372929,70.6505375797215,21.6013467465492,1.76477333619514,1.86250358981733,"Americas","Latin America and the Caribbean",959
"BIH",110,24.44,26,5,452,582,16,55,594,259,0,47.9605115511549,63.5,103,89,19.4,3.49,5.7333,73.21,3280815,64.07841796875,99.9552350286901,6079.73828544838,553.82293701,29.73446846,17.9157704219587,67.5617582073257,14.5224713707157,2.24322918586848,0.0187810145960449,"Europe","Southern Europe",14431
"BLR",136.5,29.23,24.5,139,256,576,156.5,0,98,0,571,33.3908333333333,165,560,483,26.6,10.83,11.0027,85.09,9379952,46.211212927382,99.9313519680704,6424.15217642722,399.39709473,29.47942924,15.5801955335848,67.1794476704839,17.2403567959313,-1.37053149943852,-0.796294298752972,"Europe","Eastern Europe",46346
"BLZ",81.5,55.27,101,58.5,549,549,85,69,591,279,518,68.6718197278917,147.5,67,159,22.4,1.04,2.3414,50.8,397621,17.4318719859711,100,4115.17700795622,293.41259766,27.14195824,5.00845010914724,65.7921474342853,29.1994024565674,-0.30367399896257,0.766101217734239,"Americas","Latin America and the Caribbean",652
