"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death","V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists"
"ALB",155.5,35.29,8,96.5,360,615,156.5,0,600,434,423,57.1717560975607,97,157,185,22.3,2.89,5.088,72.24,2837849,103.571131386861,99.9999999999643,5246.09634560989,274.91409302,44.65778351,14.7045813168893,68.0595608376824,17.2358578454283,-0.296316505148248,0.784257583897565,"Europe","Southern Europe",12349,"Albania",0.574848786075707,0.656109916875609,0.607794512347783,0.598346534338521,0.464441140665423,0.54542503774856
"ARG",95.5,76.88,63,33.5,555,566,29.5,137,592,561,607,72.3652388059696,87.5,0,232,28.5,4.99,2.5996,85.5,45376763,16.580892611147,93.8528246666324,8579.01777315683,945.99194336,37.38851166,11.3665118336064,64.1981770242501,24.4353111421435,1.29869042419275,1.62570970926491,"Americas","Latin America and the Caribbean",86691,"Argentina",0.660546891001258,0.73923786615303,0.892136110148639,0.780123895691318,0.319240707225147,0.481672136514619
"AUS",62.5,73.88,145,106,329,476,112,184,588,334,646,60.5675038759691,18,192,529,30.4,3.84,13.2416,89.6,25693267,3.34024963533636,24.8935837696774,51680.3165229438,5427.46240234,28.31803894,16.2130580672445,64.4945169162338,19.2924250165216,-0.380802846100671,1.15454918203374,"Oceania","Australia and New Zealand",-14142,"Australia",0.888586332973549,0.897074121363358,0.837188294358096,0.847146354713917,0.469792388942281,0.542131157414622
"AUT",27.5,66.19,32,122.5,413,579,9,125,599,257,581,61.9462113821137,37.5,369,442,21.9,7.27,7.0891,87.52942813,8916864,108.057004362579,85.0515376653505,48588.6593847921,5242.18310547,26.99225616,19.2040036427437,66.3838195913616,14.4121767658946,1.64755729016307,1.60918782628298,"Europe","Western Europe",10852,"Austria",0.81915461238738,0.885968840236928,0.573539606108091,0.856089512741749,0.595141108866135,0.704417349320135
"BEL",101,75.34,84,102,432,556,22.5,83,598,307,548,55.3487264150943,78,190,543,24.5,5.58,11.808,91.52641629,11544241,381.249702774108,91.9485403518636,45205.3359408051,4960.39355469,23.22304344,19.2542328598609,63.711796319863,17.033970820276,0.48064617261624,1.26658869202649,"Europe","Western Europe",16970,"Belgium",0.754846608576629,0.885635678187798,0.660493790945376,0.881772399969651,0.534546556043928,0.631683623606154
"BEN",76,1.92,54.5,24,572,572,156.5,0,370,0,533,42.3819663865545,97,0,0,8.2,0.5,0.3029,25.8,12123198,107.513284852785,100,1291.04097215441,29.12529182,53.01073074,3.27846608156262,54.776956579121,41.9445773393164,0.330410412458062,-0.698267307196905,"Africa","Sub-Saharan Africa",11600,"Benin",0.689984443538041,0.457791234366511,0.889939718681731,0.650507281759844,0.424117159164334,0.430076898599033
"BFA",163,1.51,90,53,511,553,156.5,0,54,106,489,31.9578036605656,43,290,0,4.5,0.4,0.9272,22,20903278,76.4008698830409,100,857.932729650223,42.3445282,42.38819504,2.41102912448209,53.218670588094,44.3703002874239,-0.341771929799124,-1.31595196006861,"Africa","Sub-Saharan Africa",21154,"Burkina Faso",0.679411884545618,0.637369460337086,0.679587074676116,0.714867025813886,0.546611032034501,0.577789814459529
"BGD",81.5,25.13,127,81,520,520,29.5,361,592,546,136,77.0436815920403,78,279,0,3.4,0.79,0.3916,24.8,164689383,1265.18693247292,100,1961.6137487886,45.85716248,75.25727081,5.22700361322017,68.0184550815883,26.7545413051915,0.258491456643052,1.71607318258263,"Asia","Southern Asia",138530,"Bangladesh",0.827148604522701,0.883625325490718,0.960034305673831,0.846558799874671,0.855995742530358,0.780037394383166
"BGR",15,22.23,27.5,6.5,338,581,118,17,598,37,459,47.8438640132671,97,97,338,27.4,7.45,4.7853,70.16,6934015,63.8726510685335,99.8946743201431,10079.2033812203,697.8963623,40.8441391,21.4679255574449,63.8526029924681,14.679471450087,1.45866881865444,0.0745543672815161,"Europe","Eastern Europe",53883,"Bulgaria",0.640642347494142,0.763626827479485,0.412711996429622,0.583399993460074,0.318784932610561,0.454137675894087
"BOL",154,38.55,101,84,518,549,49.5,96,404,371,41,58.205233333333,160.5,146,19,18.7,1.29,1.5589,59.94010155,11673029,10.7754352441614,99.9991320215104,3133.09980321504,245.92347717,27.63630486,7.48720489751539,62.3098424992125,30.2029526032721,-0.695740634415531,-0.212679597924816,"Americas","Latin America and the Caribbean",78460,"Bolivia",0.56743051068215,0.587114345101806,0.765276009002593,0.557020343919657,0.498721038302295,0.553432893379632
