"V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists","iso3c"
"Albania",0.574848786075707,0.656109916875609,0.607794512347783,0.598346534338521,0.464441140665423,0.54542503774856,"ALB"
"Algeria",0.744289117751172,0.653352275384414,0.651149603284311,0.432585449849581,0.380593098008246,0.410765231287201,"DZA"
"Argentina",0.660546891001258,0.73923786615303,0.892136110148639,0.780123895691318,0.319240707225147,0.481672136514619,"ARG"
"Australia",0.888586332973549,0.897074121363358,0.837188294358096,0.847146354713917,0.469792388942281,0.542131157414622,"AUS"
"Austria",0.81915461238738,0.885968840236928,0.573539606108091,0.856089512741749,0.595141108866135,0.704417349320135,"AUT"
"Bangladesh",0.827148604522701,0.883625325490718,0.960034305673831,0.846558799874671,0.855995742530358,0.780037394383166,"BGD"
"Belgium",0.754846608576629,0.885635678187798,0.660493790945376,0.881772399969651,0.534546556043928,0.631683623606154,"BEL"
"Benin",0.689984443538041,0.457791234366511,0.889939718681731,0.650507281759844,0.424117159164334,0.430076898599033,"BEN"
"Bolivia",0.56743051068215,0.587114345101806,0.765276009002593,0.557020343919657,0.498721038302295,0.553432893379632,"BOL"
"Brazil",0.57653574792661,0.513558679758423,0.850825768629274,0.618145091184187,0.145014761907341,0.539823469853121,"BRA"
"Bulgaria",0.640642347494142,0.763626827479485,0.412711996429622,0.583399993460074,0.318784932610561,0.454137675894087,"BGR"
"Burkina Faso",0.679411884545618,0.637369460337086,0.679587074676116,0.714867025813886,0.546611032034501,0.577789814459529,"BFA"
"Cameroon",0.531335090356144,0.442574479571174,0.823226481759996,0.669175727979518,0.512450923093182,0.485835768593076,"CMR"
"Canada",0.877407066054676,0.827188146398895,0.774627529578895,0.824237413962427,0.650873835772312,0.707670419584279,"CAN"
"Chile",0.605899936750192,0.657563548507491,0.780054929314703,0.639541275937038,0.43262791468338,0.460310046795664,"CHL"
"Colombia",0.709472579189566,0.576225762996437,0.843110796033886,0.532743289458978,0.304016299481521,0.484866452636632,"COL"
"Costa Rica",0.759619922946277,0.680910434661097,0.884195938500436,0.746916033052144,0.596242833055668,0.659590899252266,"CRI"
"Croatia",0.633868091192313,0.721753573413378,0.588029746957037,0.819366526902217,0.346968944094504,0.596479073642157,"HRV"
"Cyprus",0.758716179630352,0.739269190639822,0.7016071732473,0.497239066644795,0.473697779685663,0.463793165663198,"CYP"
"Czech Republic",0.725912903638009,0.78817537053698,0.682660749111151,0.799532357364471,0.465096854726612,0.447557376039199,"CZE"
"Denmark",0.88260433930568,0.914751080426577,0.692488577888549,0.903066145454559,0.700463275703086,0.696179141739836,"DNK"
"Dominican Republic",0.814074335019432,0.700064523759875,0.922243159196794,0.633994429059892,0.549762998819893,0.660415887302277,"DOM"
"Ecuador",0.502764115813935,0.590938084858165,0.857812147498127,0.624819478511398,0.493832113101741,0.535800122119648,"ECU"
"El Salvador",0.852612223520484,0.619993056631792,0.749621268717277,0.573391267915929,0.353160936086417,0.560909798063463,"SLV"
"Estonia",0.846359500203578,0.81089797708777,0.497848940319457,0.780315155148206,0.525099443061709,0.499450426355717,"EST"
"Ethiopia",0.915878465191394,0.880593170134326,0.968345787238278,0.821014908725165,0.650617366343123,0.542348455169351,"ETH"
"Finland",0.927448888639145,0.917323470741231,0.768123074061016,0.889074559035225,0.923412979383829,0.806009646512362,"FIN"
"France",0.734230382781634,0.848543251568319,0.479941605763375,0.857325820272729,0.614529399679855,0.466323682386266,"FRA"
"Gabon",0.620143020772614,0.308702164997583,0.646977436406951,0.556731756284891,0.458809232686919,0.298993748946744,"GAB"
"Georgia",0.795433911298244,0.887170966280974,0.685098609886075,0.646435713167748,0.212346748388933,0.622128090275384,"GEO"
"Germany",0.865263436567479,0.855360080394905,0.667846939396915,0.660331461841588,0.41245057699317,0.662263265113441,"DEU"
"Ghana",0.816519667146268,0.749278767973571,0.891831493236742,0.850802258340892,0.535651878682681,0.745381974332711,"GHA"
"Greece",0.754612424822273,0.691683757941881,0.788988933049382,0.749772599548489,0.658430986941508,0.115407564623481,"GRC"
"Guinea",0.520584238967669,0.685603595312698,0.816539138281262,0.676386666876573,0.381697269435687,0.660900622337638,"GIN"
"Hungary",0.790867574509396,0.868412135986334,0.836107749037592,0.521240492934202,0.450541181433825,0.340150259842533,"HUN"
"India",0.69295149191022,0.835189515006583,0.95368655418358,0.866288517174357,0.58420207474007,0.725086843391556,"IND"
"Indonesia",0.735671505413732,0.77221830770956,0.837597114826089,0.862487315143433,0.771511119555605,0.543018158312276,"IDN"
"Iran",0.695316246142826,0.840399562383824,0.852023390889239,0.64502538513173,0.725442159729355,0.541752183754837,"IRN"
"Iraq",0.574260803359351,0.844335127171492,0.931586596828626,0.403102762164979,0.665146664272737,0.54917617831997,"IRQ"
"Ireland",0.89909748538926,0.935062610422627,0.769214856701166,0.674506287833374,0.293912424611881,0.718837847603837,"IRL"
"Israel",0.748644533249517,0.753240067637362,0.799393513047345,0.794158726406755,0.671466391822558,0.520670125771346,"ISR"
"Italy",0.800509550333556,0.769958581130943,0.754115024999189,0.783831654617978,0.606301170214045,0.462790734475797,"ITA"
"Ivory Coast",0.598783426342919,0.374784245032166,0.777978299815798,0.57734288600031,0.337755819982447,0.348482926176515,"CIV"
"Japan",0.652006813677773,0.825429314701723,0.371899176790501,0.855078158082524,0.356472159973209,0.496380824614924,"JPN"
"Jordan",0.768578682910931,0.673640728285793,0.877002226841071,0.619567946320531,0.509490462472517,0.438559555963517,"JOR"
"Kazakhstan",0.737013885704588,0.856723222854806,0.47807168860429,0.720538819064851,0.588952988413544,0.582451213422574,"KAZ"
"Kenya",0.772135091774373,0.730624748409966,0.909409280411088,0.730849509971411,0.71389298982311,0.736807080210101,"KEN"
"Kosovo",0.464794681268696,0.865215150982639,0.636287911640538,0.578594806526378,0.645367655623135,0.633333868440102,"OWID_KOS"
"Laos",0.752811004984165,0.64895421827808,0.984208262941951,0.80315368976054,0.633418017354409,0.61617717376616,"LAO"
"Lebanon",0.432270984911119,0.731104373616441,0.873209898785535,0.672794122475138,0.29595281600174,0.502403914295518,"LBN"
"Lithuania",0.698835556207006,0.801458292792725,0.532216804814044,0.740272097962817,0.37765551483834,0.55973602710988,"LTU"
"Macedonia",0.561260876769562,0.697498814706716,0.560896353982393,0.554745845737627,0.80013207483599,0.432695767731067,NA
