"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2912521362305","","","","","","","","","","96.822639465332","","","","","","","","97.8074188232422","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.1576805114746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4488506317139","","","","","","","","","","37.266040802002",
"Africa Western and Central","AFW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4054183959961","","","","","","","","","","","","","66.0301132202148","","","","","","","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7129821777344","","","","","","","95.9386367797852","","","96.8452987670898","97.2469711303711","","","","","","98.1411514282227","","","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","44.9029693603516","45.2682418823242","45.6868782043457","46.202018737793","46.7689895629883","47.4151306152344","47.626781463623","48.4725685119629","49.3279418945313","50.3028602600098","50.890209197998","51.8793411254883","52.7835502624512","53.7540893554688","54.8583908081055","55.7960891723633","56.5177993774414","57.3520698547363","58.3394203186035","59.8085708618164","60.5445404052734","61.7237205505371","62.756031036377","63.6845283508301","64.8777770996094","66.0455703735352","68.6877365112305","69.6366577148438","69.2183990478516","68.1370086669922","68.6227188110352","69.6215133666992","68.3074493408203","69.2486267089844","71.0606079101563","74.4356918334961","74.0435791015625","75.7138900756836","73.4993896484375","74.8407974243164","75.7668228149414","72.8690872192383","73.1142501831055","73.3677673339844","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.5148811340332","","","","","","","","","","71.2352981567383","","","","","","","","","","","","","","","","","","","","90.0338516235352","","","","","","","","","","","","","","97.5569229125977","","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.9128570556641","","","","","","","","","","","96.0407180786133","","","","","","","","","","97.1933135986328","","","","","98.6108016967773","","","98.9834213256836","98.9549713134766","99.1083297729492","99.1052322387695","99.1219482421875","98.9938888549805","99.1799621582031","99.1250076293945","","99.0038681030273","","","",
"Armenia","ARM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7519607543945","","","","","","","","","","","","99.4001617431641","","","","","","","","","","99.7444076538086","","","","","","99.7360687255859","","","99.7886123657227","",
"American Samoa","ASM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","97.3441619873047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9499969482422","","","","","","","","","","98.9499969482422","","","","98.9499969482422","","","","","","",
"Australia","AUS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7918014526367","","","","","","","","99.5931930541992","","99.7598419189453","99.7711410522461","99.7786331176758","99.7757720947266","99.7893600463867","99.7889862060547","99.7880630493164","99.7900619506836","99.7912292480469","","99.7959823608398","","",
"Burundi","BDI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","22.5085506439209","","","","","","","","","","","37.3847198486328","","","","","","","","","","59.3036193847656","","","","","","","","48.0840606689453","","","","","","61.5134887695313","","","68.3753280639648","","","","",
"Belgium","BEL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","16.4827308654785","","","","","","","","","","","","","27.2451705932617","","","","","","","","","","34.6578483581543","","","","28.7021102905273","","","","","","32.9488182067871","","","","","","42.3624000549316","","","",
"Burkina Faso","BFA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","8.83022975921631","","","","","","","","","","","","","","","","13.5692300796509","","","","","12.8481702804565","","","","","","","21.8229198455811","","23.5221996307373","22.4725799560547","28.2936592102051","","","","","","","34.5993995666504","","","","39.3458518981934","","","",
"Bangladesh","BGD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","29.2272300720215","","","","","","","","","","35.3193016052246","","","","","","","","","","47.4855003356934","","","","","","46.6636009216309","","","","58.7691802978516","57.8607482910156","61.0155410766602","61.0932998657227","65.1373291015625","72.7587203979492","72.8929672241211","73.9122009277344","74.6844635009766","74.9088973999023","",
"Bulgaria","BGR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2035598754883","","","","","","","","","","98.3524475097656","","","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","69.7535095214844","","","","","","","","","","84.0138320922852","","","","","","","","","","86.5487365722656","","","","","","","","","90.9774017333984","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.063591003418","","","","","","","","","96.6631011962891","","","","","","","","","","","98.1420364379883","","96.9917678833008","","","","","","","","",
"Belarus","BLR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8833694458008","","","","","","","","","","99.5907287597656","","","","","","","","","","99.617057800293","","","","","","","","","","99.8740005493164","","",
"Belize","BLZ","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2984237670898","","","","","","","","","76.9029769897461","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
