"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1952489479237","38.9384708614462","35.9589620105148","51.5499795259039","63.5312755847611","70.4510470706749","77.2430242512697","86.5061591147478","88.9112883830699","92.8849192183075","107.706700373281","118.269209627451","113.183636538284","111.227694719127","104.541256889379","99.0085057999811","94.7391592780722","102.410660763117","96.2894798016145","91.970113074856","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.80316353","17.03574371","20.4127636","23.89050102","27.83657074","31.27183914","38.10266113","41.72274399","44.99053192","50.85347366","51.44026184","55.03462982","59.00893402","58.90652847","60.18867111","65.70602417","69.99860382","65.80603027","","",
"Africa Western and Central","AFW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3627918203162","21.0345448446589","22.1197708213431","34.0689325798137","38.6892866451879","44.2201284645841","50.8468921191057","55.2469700178261","63.8058849827684","57.6418937064876","61.4215398987798","68.6783827962535","71.0399466306385","78.7468630911754","81.8045045049296","73.2977748564004","63.6490686530693","60.9688462118587","59.3288098761499","61.3384761146599","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.99896717","28.91812134","29.04936409","34.87518692","49.81074142","54.26077652","69.81230164","92.86030579","135.6058197","119.99628448","96.69701385","122.10723114","122.18558502","143.60687256","131.6476593","108.58293915","95.12497711","114.33460236","87.31073761","71.32600403","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.61695099","89.58073425","96.27111816","125.98797607","156.56817627","165.2653656","174.53024292","222.30366516","220.46424866","186.44281006","192.0032196","211.07551575","213.71974182","236.95796204","251.35826111","192.88513184","202.01332092","226.28067017","274.91409302","","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1302.62072754","1347.48498535","1528.75061035","1820.04187012","2043.30224609","2299.70361328","2161.20532227","2403.59912109","2818.8046875","2714.24975586","2685.47973633","2634.03271484","2370.05712891","2432.78271484","2529.08984375","2246.25439453","2361.2175293","2567.42382813","2821.80126953","2744.19433594","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.338486985282","116.509337312508","115.760808399908","112.54192661633","123.286289081296","136.974559378048","157.524123420349","185.389914432031","217.892443657773","235.065225734164","245.3419934431","281.946499851572","303.760270168885","338.870502555049","365.397264108777","349.118729086792","351.301810183721","373.501826953158","378.899246758036","381.575981138375","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","787.02111816","777.13061523","857.91192627","886.5012207","894.54040527","913.3560791","974.52062988","1072.70532227","1303.14074707","1296.97766113","1314.63000488","1438.47216797","1403.52490234","1523.88378906","1588.28234863","1385.53771973","1322.00427246","1650.01855469","1817.34765625","1842.69445801","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","708.76953125","675.05786133","223.84860229","262.28659058","311.64505005","392.58874512","455.7980957","572.0401001","746.49328613","785.67022705","985.03442383","1208.39160156","1368.42297363","1421.65759277","1286.21765137","1531.48425293","1153.53405762","1529.67004395","1127.9284668","945.99194336","","",
