"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.0414188347177","59.6807604565214","58.5109484746768","52.5388096781325","51.9272245058826","46.9898020383577","45.3902111735634","44.8239178637391","44.2700775211823","41.6411606257474","41.609025217334","41.7522914581085","41.7848793715733","43.0077242158219","43.4724403235992","43.9025604459857","44.7460162716125","43.9592699432491","40.2746316114941","39.7848380711114","","",
"Afghanistan","AFG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.37561035","86.06919098","84.52759552","78.97008514","76.82497406","78.16999054","75.40338898","72.77924347","78.9966507","73.25517273","74.48620605","72.04786682","73.05592346","78.3822937","75.97433472","75.48404694","76.319664","79.39915466","","",
"Africa Western and Central","AFW","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.0067254029085","67.5085819969259","69.6873424752272","72.0222129836539","67.1263111996111","66.3602943895913","68.6873262874414","68.9747188194067","69.968920771122","69.642544873798","70.2251669664787","68.1924813165153","67.1663750402098","66.0352131664966","66.652663298909","65.7782302501501","67.4073315253959","68.9190573268454","67.0338193214843","64.0169971250692","","",
"Angola","AGO","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.27677536","52.92855453","59.41811371","57.65277863","55.55617142","52.12799835","40.36954498","39.40856934","33.1567688","28.49826241","34.6372757","32.38171387","32.57001877","35.40423965","42.67658997","49.96444702","52.2201004","50.60655975","54.58914185","55.60569763","","",
"Albania","ALB","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.40230942","57.77629089","59.70919037","54.0149231","52.66172409","52.53190231","51.34705734","55.98057556","53.07559967","47.12736511","47.36392975","49.56390762","50.40052032","50.89257813","52.15227509","43.28739929","41.76972198","44.57441711","44.65778351","","","",
"Andorra","AND","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.56111145","34.91378403","33.25002289","35.48929214","37.40073776","34.9670105","39.41439056","39.60276413","34.31565857","31.52624702","30.50432777","33.20067978","33.57223511","33.10810852","31.78808022","31.01265717","30.90909195","30.2857132","32.06521988","30.51295662","","",
"Arab World","ARB","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0836091768369","42.840560775018","43.6740159602172","43.0318630112291","42.9019884379751","42.5539689408976","41.1482324449644","41.4563796513016","41.8033776206241","39.3117680074404","41.3078126233373","39.1777257620401","40.6660119867111","40.0803188027079","38.5027970930111","41.4622830394661","42.0375309578886","41.0767728592621","40.2540989177405","41.1499080277847","","",
"United Arab Emirates","ARE","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.16954041","22.98960304","38.77114487","38.72491837","42.89268875","43.15893936","42.69578171","41.32629776","36.08961105","26.31716347","29.14583969","27.57902718","27.45520782","28.028265","29.02361488","28.74894524","27.87211609","45.18861008","48.42153931","47.70216751","","",
"Argentina","ARG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2376709","44.94721985","43.47652054","44.9441185","41.91094589","47.39781952","47.07147217","45.4609375","43.97575378","39.75198746","40.73145676","39.09850311","37.05213928","35.95693588","34.04805756","33.00239563","37.58023834","36.36763763","38.2912941","37.38851166","","",
"Armenia","ARM","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.4651413","53.16601563","76.67762756","77.9679184","73.171875","63.10401154","61.30871582","58.42900848","71.69869995","73.95410156","78.01216125","79.00801086","79.76249695","84.6021347","83.67940521","83.00221252","81.67637634","85.46837616","86.4431076","86.59964752","","",
"American Samoa","ASM","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.80508804","40.84836578","41.42494583","40.09136963","41.92370987","44.22232437","46.90571976","48.52497864","49.04826355","45.07781982","41.55625916","42.99832535","43.7047348","43.68273926","40.84020996","40.21233749","44.13653946","43.81507111","39.82854462","41.51376343","","",
"Australia","AUS","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.16367722","28.89151955","28.06230736","28.65874863","28.31289482","28.16251564","28.33368492","27.0938015","27.67008209","26.98945618","27.64272308","26.73970222","28.76534462","32.23440552","32.48653793","31.56110954","31.46705627","31.30913734","31.21686363","28.31803894","","",
"Austria","AUT","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.83659363","26.35471153","26.56185913","26.86173248","27.94504738","27.34831047","27.1498642","27.20098877","26.21240234","27.15328979","27.60429382","27.31097412","27.12621307","27.83093834","27.48290825","27.54398918","27.64033318","28.29989433","27.41217613","26.99225616","","",
"Azerbaijan","AZE","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.60791016","70.08419037","72.2912674","68.86582947","65.7750473","58.51049423","56.38795471","52.713871","54.16812134","55.5350914","57.92219543","59.86849594","60.62773895","64.20559692","65.57722473","67.44889069","70.67050171","72.51228333","73.22861481","67.96251678","","",
"Burundi","BDI","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.57231903","53.65080261","60.6132431","60.56899261","45.18771362","47.11100388","48.75332642","50.45308304","53.74073792","43.78639603","39.4912262","38.8287468","39.94078445","38.47549438","49.48607254","52.58875656","43.07648849","42.86956024","39.63681412","40.96768951","","",
"Belgium","BEL","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.46908569","24.66787338","26.27672577","26.23357773","25.31608963","25.5177536","25.6886425","26.07753372","24.51025009","23.94551277","23.97070885","23.89551353","23.44443321","23.8855629","23.67396736","24.09243584","22.76911926","22.67999458","23.17552185","23.22304344","","",
"Benin","BEN","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.24701691","54.43483734","57.72973251","58.15346146","56.0488205","56.47822571","55.7960701","54.41661072","53.18040848","51.54034424","50.07919693","48.43403244","41.89283371","47.81689453","49.83951187","45.6293869","48.45129013","49.42943573","50.35248566","53.01073074","","",
"Burkina Faso","BFA","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.11939621","46.76522446","42.19652557","37.07217789","32.99986267","33.66046524","32.89834976","29.5748806","34.04204559","36.71234894","33.64440918","38.4162674","38.66165161","41.50682831","43.8604393","46.95412827","36.43960953","38.70116806","42.30842972","42.38819504","","",
"Bangladesh","BGD","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.35266113","67.91477966","65.13150024","65.17297363","65.39846039","68.21245575","68.64450836","68.93813324","70.15200043","70.05272675","69.78610992","70.25331116","70.16964722","70.93682861","72.38652039","74.3429718","75.75740814","76.53562164","76.49461365","75.25727081","","",
"Bulgaria","BGR","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.44271088","43.92649078","40.66238785","39.28321838","40.57091904","40.427948","44.32723236","44.25086975","44.6055603","46.1959877","44.75667191","45.86563873","49.20022202","43.43709183","41.7613945","44.10270309","44.86665344","45.06515121","42.3634758","40.8441391","","",
"Bahrain","BHR","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.96720886","33.11291122","33.28059387","37.5683403","35.02946472","32.38261795","31.05665207","34.48011398","33.93477631","36.09600449","37.03143692","37.46221161","34.65159225","34.81867218","34.93597412","35.11521149","38.63580704","42.02149963","41.16764832","40.79542923","","",
"Bahamas, The","BHS","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.77048111","59.47859192","59.81783295","58.92986679","59.62305069","60.11897278","60.85769653","59.31004333","56.52207184","53.8497467","54.35084534","54.8216629","55.92957687","53.82558823","54.49462128","55.05726242","50.79774857","44.17700577","49.52278519","47.52725601","","",
"Bosnia and Herzegovina","BIH","Domestic private health expenditure (% of current health expenditure)","SH.XPD.PVTD.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.49313354","38.85043716","35.93489838","30.28847885","42.70067978","45.20005798","44.99708557","44.27066803","43.91299438","31.01283073","30.42263985","29.72919846","29.46184921","29.32859039","29.18129921","29.09063721","28.91307259","29.48862076","29.70884514","29.73446846","","",
