Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Afghanistan,AFG,2021-02-22,0,
Afghanistan,AFG,2021-02-28,0.02,
Afghanistan,AFG,2021-03-16,0.14,
Afghanistan,AFG,2021-04-07,0.3,
Afghanistan,AFG,2021-04-22,0.6,
Afghanistan,AFG,2021-05-11,1.13,
Afghanistan,AFG,2021-05-20,1.18,
Afghanistan,AFG,2021-05-24,1.2,
Afghanistan,AFG,2021-05-26,1.2,
Afghanistan,AFG,2021-05-27,1.2,
Afghanistan,AFG,2021-05-30,1.21,
Afghanistan,AFG,2021-06-02,1.21,
Afghanistan,AFG,2021-06-03,1.21,
Afghanistan,AFG,2021-06-08,1.21,
Afghanistan,AFG,2021-06-14,1.22,
Afghanistan,AFG,2021-06-22,1.46,
Afghanistan,AFG,2021-06-27,1.63,
Afghanistan,AFG,2021-06-30,1.76,
Afghanistan,AFG,2021-07-05,1.82,
Afghanistan,AFG,2021-07-07,1.85,
Afghanistan,AFG,2021-07-11,1.87,
Afghanistan,AFG,2021-08-20,1.93,
Afghanistan,AFG,2021-08-31,1.94,
Afghanistan,AFG,2021-09-30,2.08,
Afghanistan,AFG,2021-11-14,8.86,
Afghanistan,AFG,2021-12-27,10.4,
Afghanistan,AFG,2022-01-09,10.94,
Afghanistan,AFG,2022-01-11,10.99,
Afghanistan,AFG,2022-01-13,11.06,
Afghanistan,AFG,2022-01-17,11.13,
Afghanistan,AFG,2022-01-19,11.17,
Afghanistan,AFG,2022-01-24,11.26,
Afghanistan,AFG,2022-01-26,11.33,
Afghanistan,AFG,2022-01-27,11.34,
Afghanistan,AFG,2022-01-31,11.43,
Afghanistan,AFG,2022-02-02,11.49,
Afghanistan,AFG,2022-02-07,11.63,
Afghanistan,AFG,2022-02-14,11.86,
Afghanistan,AFG,2022-02-20,12.05,
Afghanistan,AFG,2022-02-27,12.32,
Afghanistan,AFG,2022-03-06,12.43,
Afghanistan,AFG,2022-03-17,12.72,
Afghanistan,AFG,2022-03-22,12.76,
Afghanistan,AFG,2022-04-04,13.02,
Afghanistan,AFG,2022-04-14,13.17,
Afghanistan,AFG,2022-04-18,13.19,
Afghanistan,AFG,2022-04-26,13.27,
Afghanistan,AFG,2022-04-27,13.27,
Afghanistan,AFG,2022-05-05,13.35,
Afghanistan,AFG,2022-05-08,13.36,
Afghanistan,AFG,2022-05-10,13.37,
Afghanistan,AFG,2022-05-15,13.46,
Afghanistan,AFG,2022-05-23,13.57,
Afghanistan,AFG,2022-06-01,13.7,
Afghanistan,AFG,2022-06-15,13.99,
Afghanistan,AFG,2022-06-21,14.13,
Africa,,2021-01-09,0,
Africa,,2021-01-10,0,
Africa,,2021-01-11,0,
Africa,,2021-01-12,0,
Africa,,2021-01-13,0,
Africa,,2021-01-14,0,
Africa,,2021-01-15,0,
Africa,,2021-01-16,0,
Africa,,2021-01-17,0,
Africa,,2021-01-18,0,
Africa,,2021-01-19,0,
Africa,,2021-01-20,0,
Africa,,2021-01-21,0,
Africa,,2021-01-22,0,
Africa,,2021-01-23,0,
Africa,,2021-01-24,0,
Africa,,2021-01-25,0,
Africa,,2021-01-26,0,
Africa,,2021-01-27,0,
Africa,,2021-01-28,0,
Africa,,2021-01-29,0,
Africa,,2021-01-30,0,
Africa,,2021-01-31,0,
Africa,,2021-02-01,0,
Africa,,2021-02-02,0,
Africa,,2021-02-03,0,
Africa,,2021-02-04,0,
Africa,,2021-02-05,0,
Africa,,2021-02-06,0,
Africa,,2021-02-07,0,
Africa,,2021-02-08,0,
Africa,,2021-02-09,0,
Africa,,2021-02-10,0,
Africa,,2021-02-11,0,
Africa,,2021-02-12,0,
Africa,,2021-02-13,0,
Africa,,2021-02-14,0,
Africa,,2021-02-15,0,
Africa,,2021-02-16,0,
Africa,,2021-02-17,0,
Africa,,2021-02-18,0,
Africa,,2021-02-19,0.18,
Africa,,2021-02-20,0.19,
Africa,,2021-02-21,0.19,
Africa,,2021-02-22,0.2,
Africa,,2021-02-23,0.2,
Africa,,2021-02-24,0.23,
Africa,,2021-02-25,0.25,
Africa,,2021-02-26,0.26,
Africa,,2021-02-27,0.27,
Africa,,2021-02-28,0.27,
Africa,,2021-03-01,0.28,
Africa,,2021-03-02,0.29,
Africa,,2021-03-03,0.29,
Africa,,2021-03-04,0.3,
Africa,,2021-03-05,0.31,
Africa,,2021-03-06,0.32,
Africa,,2021-03-07,0.32,
Africa,,2021-03-08,0.34,
Africa,,2021-03-09,0.35,
Africa,,2021-03-10,0.36,
Africa,,2021-03-11,0.37,
Africa,,2021-03-12,0.37,
Africa,,2021-03-13,0.38,
Africa,,2021-03-14,0.39,
Africa,,2021-03-15,0.39,
Africa,,2021-03-16,0.4,
Africa,,2021-03-17,0.4,
Africa,,2021-03-18,0.41,
Africa,,2021-03-19,0.42,
Africa,,2021-03-20,0.42,
Africa,,2021-03-21,0.42,
Africa,,2021-03-22,0.42,
Africa,,2021-03-23,0.43,
Africa,,2021-03-24,0.48,
Africa,,2021-03-25,0.48,
Africa,,2021-03-26,0.49,
Africa,,2021-03-27,0.51,
Africa,,2021-03-28,0.53,
Africa,,2021-03-29,0.53,
Africa,,2021-03-30,0.54,
Africa,,2021-03-31,0.56,
Africa,,2021-04-01,0.58,
Africa,,2021-04-02,0.58,
Africa,,2021-04-03,0.59,
Africa,,2021-04-04,0.59,
Africa,,2021-04-05,0.6,
Africa,,2021-04-06,0.62,
Africa,,2021-04-07,0.64,
Africa,,2021-04-08,0.69,
Africa,,2021-04-09,0.7,
Africa,,2021-04-10,0.71,
Africa,,2021-04-11,0.72,
Africa,,2021-04-12,0.73,
Africa,,2021-04-13,0.74,
Africa,,2021-04-14,0.76,
Africa,,2021-04-15,0.77,
Africa,,2021-04-16,0.78,
Africa,,2021-04-17,0.8,
Africa,,2021-04-18,0.84,
Africa,,2021-04-19,0.86,
Africa,,2021-04-20,0.87,
